"idx","num_of_columns","columns","wlp"
1,4,"1 2 4 8","0 0 0 0"
2,4,"1 2 4 3","0 0 1 0"
3,4,"1 2 4 7","0 0 0 1"
4,5,"1 2 4 8 15","0 0 0 0 1"
5,5,"1 2 4 8 7","0 0 0 1 0"
6,5,"1 2 4 8 3","0 0 1 0 0"
7,5,"1 2 4 3 5","0 0 2 1 0"
8,6,"1 2 4 8 7 11","0 0 0 3 0 0"
9,6,"1 2 4 8 3 13","0 0 1 1 1 0"
10,6,"1 2 4 8 3 12","0 0 2 0 0 1"
11,6,"1 2 4 8 3 5","0 0 2 1 0 0"
12,6,"1 2 4 3 5 6","0 0 4 3 0 0"
13,7,"1 2 4 8 7 11 13","0 0 0 7 0 0 0"
14,7,"1 2 4 8 3 5 14","0 0 2 3 2 0 0"
15,7,"1 2 4 8 3 5 10","0 0 3 2 1 1 0"
16,7,"1 2 4 8 3 5 9","0 0 3 3 0 0 1"
17,7,"1 2 4 8 3 5 6","0 0 4 3 0 0 0"
18,7,"1 2 4 3 5 6 7","0 0 7 7 0 0 1"
