"idx","m","a_columns","b_columns","s111","s111_prop","s22","s22_prop"
70,10,"1 2 4 8 16 15 19 21 25 30","6 20 10 5 11 23 12 9 3 3",120,1,44,0.977777777777778
120,11,"1 2 4 8 16 31 7 11 21 25 13","22 28 10 18 3 5 9 19 6 15 17",165,1,48,0.872727272727273
121,11,"1 2 4 8 16 31 7 11 21 13 14","22 17 26 18 9 3 27 22 6 20 22",165,1,48,0.872727272727273
187,12,"1 2 4 8 16 31 7 11 21 25 13 14","18 17 24 18 12 9 26 23 6 15 22 20",220,1,53,0.803030303030303
278,13,"1 2 4 8 16 31 7 11 21 25 13 14 19","22 20 24 22 6 3 26 17 15 5 22 18 9",286,1,56,0.717948717948718
391,14,"1 2 4 8 16 31 7 11 21 25 13 14 19 22","26 24 24 18 12 3 26 17 15 5 17 18 9 10",364,1,46,0.505494505494505
520,15,"1 2 4 8 16 31 7 11 21 25 13 14 19 22 26",NA,455,1,0,0
661,16,"10 12 17 18 19 20 21 22 23 24 25 26 27 28 29 30","1 2 14 2 3 4 5 6 7 7 6 5 4 3 13 1",548,0.978571428571429,70,0.583333333333333
516,17,"9 10 11 12 13 14 18 20 22 24 25 26 27 28 29 30 31","1 2 3 3 2 6 5 4 7 15 8 15 8 15 8 15 15",662,0.973529411764706,85,0.625
382,18,"9 10 12 13 14 15 17 18 20 21 22 23 25 26 28 29 30 31","1 1 4 6 6 4 2 2 7 5 6 4 2 1 4 5 5 7",792,0.970588235294118,116,0.758169934640523
268,19,"9 10 12 13 14 15 17 18 20 21 22 23 25 26 27 28 29 30 31","1 2 4 6 5 7 2 1 7 5 6 4 1 2 11 4 5 6 7",939,0.969040247678019,120,0.701754385964912
178,20,"5 6 9 10 11 12 13 14 20 21 22 23 24 25 26 27 28 29 30 31","1 1 1 2 3 3 2 1 4 7 7 4 8 8 8 8 15 15 15 15",1104,0.968421052631579,122,0.642105263157895
114,21,"9 10 11 12 13 14 15 17 18 19 20 21 22 23 25 26 27 28 29 30 31","1 2 3 4 5 6 7 1 2 3 4 5 6 7 1 2 3 4 5 6 7",1288,0.968421052631579,126,0.6
55,22,"3 5 6 7 9 10 11 12 13 14 20 21 22 23 24 25 26 27 28 29 30 31","1 1 2 8 1 2 4 4 2 1 4 4 4 4 8 8 8 8 15 15 15 15",1488,0.966233766233766,123,0.532467532467532
