"V1","V2","V3","V4"
1,2,3,4
1,5,6,10
1,7,8,13
1,9,12,11
1,14,15,28
1,16,17,31
1,18,30,29
1,19,20,37
1,21,22,40
1,23,39,38
1,24,33,32
1,25,26,36
1,27,35,34
2,5,7,11
2,6,8,9
2,10,12,13
2,14,16,29
2,15,17,18
2,19,21,38
2,20,22,23
2,24,26,27
2,25,34,32
2,28,30,31
2,33,35,36
2,37,39,40
3,5,8,12
3,6,13,11
3,7,9,10
3,14,17,30
3,15,31,29
3,16,18,28
3,19,22,39
3,20,40,38
3,21,23,37
3,24,36,34
3,25,27,33
3,26,35,32
4,5,9,13
4,6,12,7
4,8,10,11
4,14,18,31
4,15,30,16
4,17,28,29
4,19,23,40
4,20,39,21
4,22,37,38
4,24,35,25
4,26,33,34
4,27,36,32
5,14,19,32
5,15,20,24
5,16,21,25
5,17,22,26
5,18,23,27
5,28,33,37
5,29,34,38
5,30,35,39
5,31,36,40
6,14,20,33
6,15,37,32
6,16,22,36
6,17,40,25
6,18,39,34
6,19,24,28
6,21,26,31
6,23,35,29
6,27,30,38
7,14,21,34
7,15,22,27
7,16,38,32
7,17,23,24
7,18,20,26
7,19,25,29
7,28,35,40
7,30,36,37
7,31,33,39
8,14,22,35
8,15,40,34
8,16,23,33
8,17,39,32
8,18,37,25
8,19,26,30
8,20,36,29
8,21,27,28
8,24,31,38
9,14,23,36
9,15,39,25
9,16,20,35
9,17,37,34
9,18,40,32
9,19,27,31
9,21,24,30
9,22,33,29
9,26,28,38
10,14,24,37
10,15,33,19
10,16,26,40
10,17,36,21
10,18,35,38
10,20,28,32
10,22,31,25
10,23,30,34
10,27,39,29
11,14,25,38
11,15,26,23
11,16,34,19
11,17,27,20
11,18,24,22
11,21,29,32
11,28,39,36
11,30,40,33
11,31,37,35
12,14,26,39
12,15,36,38
12,16,27,37
12,17,35,19
12,18,33,21
12,20,31,34
12,22,30,32
12,23,28,25
12,24,40,29
13,14,27,40
13,15,35,21
13,16,24,39
13,17,33,38
13,18,36,19
13,20,30,25
13,22,28,34
13,23,31,32
13,26,37,29
